rawdataID	dataset	reprSMILES_processed	molid	InChI	InChIKey	Exp_Macro_pKa_processed	T_processed	I_processed	primary_source	comments	assigned_charge_state_transition	assignment_error	assignment_method	exclude_flag	exclude_comment
SAMPL6_24	SAMPL6	O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1	SM18	InChI=1S/C21H16F2N4O2S/c22-15-6-5-12(10-16(15)23)9-13-11-24-21(30-13)27-19(28)8-7-18-25-17-4-2-1-3-14(17)20(29)26-18/h1-6,10-11H,7-9H2,(H,24,27,28)(H,25,26,29)	NSBOINOQPZJFJR-UHFFFAOYSA-N	11.02	25	0.165			-1>>-2	0.693999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_25	SAMPL6	CCOc1ccc2nc(NC(=O)Cc3ccc(Cl)c(Cl)c3)sc2c1	SM19	InChI=1S/C17H14Cl2N2O2S/c1-2-23-11-4-6-14-15(9-11)24-17(20-14)21-16(22)8-10-3-5-12(18)13(19)7-10/h3-7,9H,2,8H2,1H3,(H,20,21,22)	QAQGONWDFVDNAN-UHFFFAOYSA-N	9.56	25	0.165			0>>-1	0.375	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_26	SAMPL6	O=C1NC(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3Cl)c2)S1	SM20	InChI=1S/C17H11Cl2NO3S/c18-12-5-4-11(14(19)8-12)9-23-13-3-1-2-10(6-13)7-15-16(21)20-17(22)24-15/h1-8H,9H2,(H,20,21,22)/b15-7+	XQTSESLEAASMKJ-VIZOYTHASA-N	5.7	25	0.165			0>>-1	0.204	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_27	SAMPL6	Fc1cnc(Nc2cccc(Br)c2)nc1Nc1cccc(Br)c1	SM21	InChI=1S/C16H11Br2FN4/c17-10-3-1-5-12(7-10)21-15-14(19)9-20-16(23-15)22-13-6-2-4-11(18)8-13/h1-9H,(H2,20,21,22,23)	JMFBVEWGVFCOKD-UHFFFAOYSA-N	4.1	25	0.165			1>>0	0.0469999999999997	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_28	SAMPL6	Oc1c(I)cc(I)c2cccnc12	SM22	InChI=1S/C9H5I2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H	UXZFQZANDVDGMM-UHFFFAOYSA-N	2.4	25	0.165			1>>0	0.145	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_29	SAMPL6	Oc1c(I)cc(I)c2cccnc12	SM22	InChI=1S/C9H5I2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H	UXZFQZANDVDGMM-UHFFFAOYSA-N	7.43	25	0.165			0>>-1	0.129	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_30	SAMPL6	CCOC(=O)c1ccc(Nc2cc(C)nc(Nc3ccc(C(=O)OCC)cc3)n2)cc1	SM23	InChI=1S/C23H24N4O4/c1-4-30-21(28)16-6-10-18(11-7-16)25-20-14-15(3)24-23(27-20)26-19-12-8-17(9-13-19)22(29)31-5-2/h6-14H,4-5H2,1-3H3,(H2,24,25,26,27)	XQABJHMTLNZEJT-UHFFFAOYSA-N	5.45	25	0.165			1>>0	0.0679999999999996	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_31	SAMPL6	COc1ccc(-c2oc3ncnc(NCCO)c3c2-c2ccc(OC)cc2)cc1	SM24	InChI=1S/C22H21N3O4/c1-27-16-7-3-14(4-8-16)18-19-21(23-11-12-26)24-13-25-22(19)29-20(18)15-5-9-17(28-2)10-6-15/h3-10,13,26H,11-12H2,1-2H3,(H,23,24,25)	ARBUGBBNEFAECO-UHFFFAOYSA-N	2.6	25	0.165			1>>0	0.424	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_1	SAMPL7	O=C(CCc1ccccc1)NS(=O)(=O)c1ccccc1	SM25	InChI=1S/C15H15NO3S/c17-15(12-11-13-7-3-1-4-8-13)16-20(18,19)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,16,17)	OXDPYOBJCCTYAF-UHFFFAOYSA-N	4.49	25	0.165			0>>-1	0.212	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_2	SAMPL7	CC(=O)NS(=O)(=O)CCc1ccccc1	SM26	InChI=1S/C10H13NO3S/c1-9(12)11-15(13,14)8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,11,12)	ZYPZFMNTSASEKA-UHFFFAOYSA-N	4.91	25	0.165			0>>-1	0.222	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_3	SAMPL7	CC1(NS(=O)(=O)CCc2ccccc2)COC1	SM27	InChI=1S/C12H17NO3S/c1-12(9-16-10-12)13-17(14,15)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3	YPTGBFBXBCZAFG-UHFFFAOYSA-N	10.45	25	0.165			0>>-1	2.071	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_4	SAMPL7	CS(=O)(=O)NC1(CCc2ccccc2)COC1	SM29	InChI=1S/C12H17NO3S/c1-17(14,15)13-12(9-16-10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3	GTQDPTRMCYDNMG-UHFFFAOYSA-N	10.05	25	0.165			0>>-1	1.591	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_5	SAMPL7	O=S(=O)(NC1(CCc2ccccc2)COC1)c1ccccc1	SM30	InChI=1S/C17H19NO3S/c19-22(20,16-9-5-2-6-10-16)18-17(13-21-14-17)12-11-15-7-3-1-4-8-15/h1-10,18H,11-14H2	DSHBIKIQYZMXSV-UHFFFAOYSA-N	10.29	25	0.165			0>>-1	2.122	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_6	SAMPL7	CN(C)S(=O)(=O)NC1(CCc2ccccc2)COC1	SM31	InChI=1S/C13H20N2O3S/c1-15(2)19(16,17)14-13(10-18-11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3	RHDCIYWAWGPHGX-UHFFFAOYSA-N	11.02	25	0.165			0>>-1	2.855	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_7	SAMPL7	CS(=O)(=O)NC1(CCc2ccccc2)CSC1	SM32	InChI=1S/C12H17NO2S2/c1-17(14,15)13-12(9-16-10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3	LLATUROHTKAZOV-UHFFFAOYSA-N	10.45	25	0.165			0>>-1	1.701	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_8	SAMPL7	CN(C)S(=O)(=O)NC1(CCc2ccccc2)CSC1	SM34	InChI=1S/C13H20N2O2S2/c1-15(2)19(16,17)14-13(10-18-11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3	JLVMZWSAFDHYOQ-UHFFFAOYSA-N	11.93	25	0.165			0>>-1	3.802	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_9	SAMPL7	CS(=O)(=O)NC1(CCc2ccccc2)C[S+]([O-])C1	SM35	InChI=1S/C12H17NO3S2/c1-18(15,16)13-12(9-17(14)10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3	IKCCGGPBCKYXJH-UHFFFAOYSA-N	9.87	25	0.165			0>>-1	0.978999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_10	SAMPL7	O=S(=O)(NC1(CCc2ccccc2)C[S+]([O-])C1)c1ccccc1	SM36	InChI=1S/C17H19NO3S2/c19-22-13-17(14-22,12-11-15-7-3-1-4-8-15)18-23(20,21)16-9-5-2-6-10-16/h1-10,18H,11-14H2	IUZDEVPPTVLCPG-UHFFFAOYSA-N	9.8	25	0.165			0>>-1	1.381	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_11	SAMPL7	CN(C)S(=O)(=O)NC1(CCc2ccccc2)C[S+]([O-])C1	SM37	InChI=1S/C13H20N2O3S2/c1-15(2)20(17,18)14-13(10-19(16)11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3	KSLZYUFPIUDTGI-UHFFFAOYSA-N	10.33	25	0.165			0>>-1	2.182	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_12	SAMPL7	CS(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1	SM38	InChI=1S/C12H17NO4S2/c1-18(14,15)13-12(9-19(16,17)10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3	UGOFJYMDPOFIIG-UHFFFAOYSA-N	9.44	25	0.165			0>>-1	0.811	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_13	SAMPL7	O=S1(=O)CC(CCc2ccccc2)(NS(=O)(=O)c2ccccc2)C1	SM39	InChI=1S/C17H19NO4S2/c19-23(20)13-17(14-23,12-11-15-7-3-1-4-8-15)18-24(21,22)16-9-5-2-6-10-16/h1-10,18H,11-14H2	WQAPJMXIYRTJAI-UHFFFAOYSA-N	10.22	25	0.165			0>>-1	1.838	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_14	SAMPL7	CN(C)S(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1	SM40	InChI=1S/C13H20N2O4S2/c1-15(2)21(18,19)14-13(10-20(16,17)11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3	NDFRHTSAJSVBBW-UHFFFAOYSA-N	9.58	25	0.165			0>>-1	1.699	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_15	SAMPL7	CS(=O)(=O)Nc1cc(-c2ccccc2)on1	SM41	InChI=1S/C10H10N2O3S/c1-16(13,14)12-10-7-9(15-11-10)8-5-3-2-4-6-8/h2-7H,1H3,(H,11,12)	IZPIXDIDZLOIPG-UHFFFAOYSA-N	5.22	25	0.165			0>>-1	0.0979999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_16	SAMPL7	O=S(=O)(Nc1cc(-c2ccccc2)on1)c1ccccc1	SM42	InChI=1S/C15H12N2O3S/c18-21(19,13-9-5-2-6-10-13)17-15-11-14(20-16-15)12-7-3-1-4-8-12/h1-11H,(H,16,17)	VVXJHLGAEFGYFM-UHFFFAOYSA-N	6.62	25	0.165			0>>-1	2.062	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_17	SAMPL7	CN(C)S(=O)(=O)Nc1cc(-c2ccccc2)on1	SM43	InChI=1S/C11H13N3O3S/c1-14(2)18(15,16)13-11-8-10(17-12-11)9-6-4-3-5-7-9/h3-8H,1-2H3,(H,12,13)	NPCJBDMKFDYWEP-UHFFFAOYSA-N	5.62	25	0.165			0>>-1	0.503	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_18	SAMPL7	CS(=O)(=O)Nc1cn(-c2ccccc2)nn1	SM44	InChI=1S/C9H10N4O2S/c1-16(14,15)11-9-7-13(12-10-9)8-5-3-2-4-6-8/h2-7,11H,1H3	GELHRYLBISDEHI-UHFFFAOYSA-N	6.34	25	0.165			0>>-1	0.394	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_19	SAMPL7	O=S(=O)(Nc1cn(-c2ccccc2)nn1)c1ccccc1	SM45	InChI=1S/C14H12N4O2S/c19-21(20,13-9-5-2-6-10-13)16-14-11-18(17-15-14)12-7-3-1-4-8-12/h1-11,16H	VBQOGZVHGSKAGT-UHFFFAOYSA-N	5.93	25	0.165			0>>-1	0.218999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL7_20	SAMPL7	CN(C)S(=O)(=O)Nc1cn(-c2ccccc2)nn1	SM46	InChI=1S/C10H13N5O2S/c1-14(2)18(16,17)12-10-8-15(13-11-10)9-6-4-3-5-7-9/h3-8,12H,1-2H3	GDFIIHOWLLSAAP-UHFFFAOYSA-N	6.42	25	0.165			0>>-1	0.511	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_1	SAMPL8	O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1	SAMPL8-1	InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)	LPEPZBJOKDYZAD-UHFFFAOYSA-N	3.99	25	0.165			0>>-1	0.218999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_2	SAMPL8	CS(=O)(=O)c1ccc(CCC(=O)O)cc1	SAMPL8-2	InChI=1S/C10H12O4S/c1-15(13,14)9-5-2-8(3-6-9)4-7-10(11)12/h2-3,5-6H,4,7H2,1H3,(H,11,12)	ZZZBVBATZOAPQB-UHFFFAOYSA-N	4.5	25	0.165			0>>-1	0.0869999999999997	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_3	SAMPL8	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	SAMPL8-3	InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	4	25	0.165			0>>-1	0.241	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_4	SAMPL8	Br.Cc1sc(Nc2ccc(C#N)c(Cl)c2)nc1C(=O)O	SAMPL8-4	InChI=1S/C12H8ClN3O2S.BrH/c1-6-10(11(17)18)16-12(19-6)15-8-3-2-7(5-14)9(13)4-8;/h2-4H,1H3,(H,15,16)(H,17,18);1H	NSCJJWTYDIUQEV-UHFFFAOYSA-N	5.77	25	0.165			0>>-1	2.423	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_5	SAMPL8	O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]	SAMPL8-5	InChI=1S/C14H11Cl2NO2.Na/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19;/h1-7,17H,8H2,(H,18,19);/q;+1/p-1	KPHWPUGNDIVLNH-UHFFFAOYSA-M	4.23	25	0.165			1>>0	0.845000000000001	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_6	SAMPL8	Cc1ccc(Cl)cc1NCc1ccc(C(=O)O)s1	SAMPL8-6	InChI=1S/C13H12ClNO2S/c1-8-2-3-9(14)6-11(8)15-7-10-4-5-12(18-10)13(16)17/h2-6,15H,7H2,1H3,(H,16,17)	VUSFWTZXPQMGCA-UHFFFAOYSA-N	4.17	25	0.165			0>>-1	0.673	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_7	SAMPL8	Nc1nc2ccc(Br)cc2n1CC1(O)CCOCC1	SAMPL8-7	InChI=1S/C13H16BrN3O2/c14-9-1-2-10-11(7-9)17(12(15)16-10)8-13(18)3-5-19-6-4-13/h1-2,7,18H,3-6,8H2,(H2,15,16)	DQQJTMKHDDKOJM-UHFFFAOYSA-N	6.63	25	0.165			1>>0	0.173	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_8	SAMPL8	COC(=O)c1cn2cccc(C(F)(F)F)c2n1	SAMPL8-8	InChI=1S/C10H7F3N2O2/c1-17-9(16)7-5-15-4-2-3-6(8(15)14-7)10(11,12)13/h2-5H,1H3	HHDUJZFMAASDTK-UHFFFAOYSA-N	2.78	25	0.165			1>>0	1.39	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_9	SAMPL8	Nc1nc2ccc(Br)cc2n1CC1(O)CCCCC1	SAMPL8-9	InChI=1S/C14H18BrN3O/c15-10-4-5-11-12(8-10)18(13(16)17-11)9-14(19)6-2-1-3-7-14/h4-5,8,19H,1-3,6-7,9H2,(H2,16,17)	NBGDKCHTPMOGRJ-UHFFFAOYSA-N	6.08	25	0.165			1>>0	0.723	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_10	SAMPL8	CS(=O)(=O)c1cccc(-c2ccc(CNCc3c(F)cccc3Cl)cc2)c1.Cl	SAMPL8-10	InChI=1S/C21H19ClFNO2S.ClH/c1-27(25,26)18-5-2-4-17(12-18)16-10-8-15(9-11-16)13-24-14-19-20(22)6-3-7-21(19)23;/h2-12,24H,13-14H2,1H3;1H	WBAVFBFTQKIKIQ-UHFFFAOYSA-N	7.71	25	0.165			1>>0	1.081	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_11	SAMPL8	Cc1ccc(Cc2cnc(N)nc2N2CCOCC2)cc1	SAMPL8-12	InChI=1S/C16H20N4O/c1-12-2-4-13(5-3-12)10-14-11-18-16(17)19-15(14)20-6-8-21-9-7-20/h2-5,11H,6-10H2,1H3,(H2,17,18,19)	HHULTXGZBWPPAF-UHFFFAOYSA-N	6.98	25	0.165			1>>0	0.722	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_12	SAMPL8	Cc1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O.Cl	SAMPL8-14	InChI=1S/C16H22N4O.ClH/c1-9-5-10(7-12(13(9)21)16(2,3)4)6-11-8-19-15(18)20-14(11)17;/h5,7-8,21H,6H2,1-4H3,(H4,17,18,19,20);1H	MPMMMOLGIBXUDV-UHFFFAOYSA-N	7.27	25	0.165			1>>0	0.138	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_13	SAMPL8	Cc1ccccc1Nc1nc(Cl)nc2ccccc12	SAMPL8-15	InChI=1S/C15H12ClN3/c1-10-6-2-4-8-12(10)17-14-11-7-3-5-9-13(11)18-15(16)19-14/h2-9H,1H3,(H,17,18,19)	VLMCLFBJKWKCDN-UHFFFAOYSA-N	2.54	25	0.165			1>>0	0.856	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL8_14	SAMPL8	CC(C)(C)OC(=O)NCc1nc2ccccc2[nH]1	SAMPL8-16	InChI=1S/C13H17N3O2/c1-13(2,3)18-12(17)14-8-11-15-9-6-4-5-7-10(9)16-11/h4-7H,8H2,1-3H3,(H,14,17)(H,15,16)	WRAOGDJKTDDORV-UHFFFAOYSA-N	5.1	25	0.165			1>>0	0.161	Epikx.defaultsettings.chargewindow_-2_2		
